fs_method,top_k,n_past,activation,DIR_ACC,MAE,RMSE
mi,5,40,relu,0.5,0.007782109999707798,0.007782109999707798
rf,10,40,selu,0.5,0.007906293777788065,0.007906293777788065
corr,5,20,relu,0.5,0.008138479091644224,0.008138479091644224
mi,10,10,tanh,0.5,0.008305063795067014,0.008305063795067014
manual,3,60,relu,0.5,0.008337897341828049,0.008337897341828049
corr,3,10,selu,0.5,0.00873942532764338,0.00873942532764338
mi,10,10,relu,0.5,0.009900003951810787,0.009900003951810787
mi,3,40,relu,0.375,0.0053844596544884715,0.0053844596544884715
rf,5,60,relu,0.375,0.00592770938610343,0.00592770938610343
manual,3,40,tanh,0.375,0.006237426299616322,0.006237426299616322
mi,3,60,tanh,0.375,0.006447158743949577,0.006447158743949577
corr,3,40,relu,0.375,0.006814556447598985,0.006814556447598985
mi,5,60,tanh,0.375,0.006931429617811791,0.006931429617811791
corr,5,60,tanh,0.375,0.007082048527959628,0.007082048527959628
mi,10,10,selu,0.375,0.0076011813844982234,0.0076011813844982234
mi,10,40,tanh,0.375,0.008077788971686706,0.008077788971686706
rf,3,40,tanh,0.375,0.008288399101456179,0.008288399101456179
mi,3,20,relu,0.375,0.008406785060398492,0.008406785060398492
corr,10,40,relu,0.375,0.008474661169171227,0.008474661169171227
mi,3,20,selu,0.375,0.008527739920250965,0.008527739920250965
mi,3,10,tanh,0.375,0.00856493257792379,0.00856493257792379
mi,3,60,relu,0.375,0.009264834269122724,0.009264834269122724
mi,10,40,selu,0.375,0.00931427166878862,0.00931427166878862
manual,3,40,relu,0.375,0.009700987070837996,0.009700987070837996
mi,5,20,relu,0.25,0.006599398665426193,0.006599398665426193
rf,3,40,relu,0.25,0.0073171743578909765,0.0073171743578909765
rf,10,10,tanh,0.25,0.007836975842392901,0.007836975842392901
corr,3,20,selu,0.25,0.010286306079516194,0.010286306079516194
mi,5,10,relu,0.125,0.007691078805974583,0.007691078805974583
mi,5,60,selu,0.125,0.014094297239442,0.014094297239442
