fs_method,top_k,n_past,activation,DIR_ACC,MAE,RMSE
corr,10,40,relu,0.4444444444444444,0.007117763351849549,0.007117763351849549
corr,3,40,tanh,0.4444444444444444,0.007135898590746814,0.007135898590746814
corr,3,20,selu,0.4444444444444444,0.007262688087499969,0.007262688087499969
manual,3,20,tanh,0.4444444444444444,0.007263959031776679,0.007263959031776679
corr,5,20,tanh,0.4444444444444444,0.00727800985621152,0.00727800985621152
mi,5,40,tanh,0.4444444444444444,0.007369540530510754,0.007369540530510754
corr,3,60,relu,0.4444444444444444,0.007585641536896337,0.007585641536896337
rf,5,60,selu,0.4444444444444444,0.007590246694197167,0.007590246694197167
rf,5,10,selu,0.4444444444444444,0.007644300538206972,0.007644300538206972
corr,3,60,tanh,0.4444444444444444,0.007772731733186822,0.007772731733186822
rf,3,10,tanh,0.4444444444444444,0.00783016796724545,0.00783016796724545
mi,3,40,relu,0.4444444444444444,0.008077891655490888,0.008077891655490888
corr,10,60,selu,0.4444444444444444,0.008137214653394453,0.008137214653394453
manual,3,40,relu,0.4444444444444444,0.008242577452822308,0.008242577452822308
corr,5,40,relu,0.4444444444444444,0.009114917855388205,0.009114917855388205
corr,10,10,tanh,0.4444444444444444,0.009467531107590688,0.009467531107590688
corr,10,10,relu,0.4444444444444444,0.009815054443808924,0.009815054443808924
rf,10,40,relu,0.3333333333333333,0.003941940748343642,0.003941940748343642
mi,5,40,selu,0.3333333333333333,0.004601330608354104,0.004601330608354104
corr,3,10,selu,0.3333333333333333,0.005359351481661667,0.005359351481661667
rf,3,20,selu,0.3333333333333333,0.007380422977765311,0.007380422977765311
rf,10,60,tanh,0.3333333333333333,0.008054666359587292,0.008054666359587292
mi,5,10,relu,0.2222222222222222,0.007960334960405935,0.007960334960405935
