fs_method,top_k,n_past,activation,RMSE,MAE,MAPE,DIR_ACC
corr,3,10,selu,0.020856779856548945,0.012995576441051477,198.0119159712251,50.0
mi,10,20,selu,0.021600894311474536,0.014695006553856088,187.04942590419205,50.0
corr,10,60,relu,0.021922278689734172,0.01723001625414567,193.45979512509751,50.0
manual,3,40,tanh,0.019649049948853258,0.012792183396053374,157.6733479258211,47.368421052631575
mi,5,20,tanh,0.01991342059511944,0.012791719704966082,145.92710516032145,47.368421052631575
corr,10,60,selu,0.02048302909928761,0.012963913552720982,198.38365906621144,47.368421052631575
rf,10,60,tanh,0.019448683458450352,0.014755495547436189,184.58767781642084,44.73684210526316
corr,3,60,selu,0.01956903099306705,0.012743625289599441,154.16840879243304,44.73684210526316
mi,10,60,selu,0.019604676132988455,0.014930678901464992,292.3789786864548,44.73684210526316
corr,5,10,tanh,0.01977108018081527,0.012621207739606788,134.75219167509084,44.73684210526316
mi,10,60,relu,0.020693976067327587,0.014876989346360874,254.03232087137923,44.73684210526316
rf,5,20,selu,0.02080100877782768,0.013401595537175612,177.95248491240775,44.73684210526316
rf,5,40,relu,0.021185666301524308,0.016400299633077976,187.92915222134727,44.73684210526316
