fs_method,top_k,n_past,activation,DIR_ACC,MAE,RMSE
mi,3,10,relu,0.0,0.005043046804355855,0.005043046804355855
manual,3,20,tanh,0.0,0.005196435865225668,0.005196435865225668
rf,3,10,relu,0.0,0.005252499155911083,0.005252499155911083
mi,3,20,tanh,0.0,0.00527195122486579,0.00527195122486579
corr,10,10,tanh,0.0,0.005322096891912098,0.005322096891912098
mi,5,10,tanh,0.0,0.005411717830436702,0.005411717830436702
rf,3,40,tanh,0.0,0.005680800438138123,0.005680800438138123
mi,3,20,relu,0.0,0.005681986710267539,0.005681986710267539
mi,5,20,tanh,0.0,0.005729744931893821,0.005729744931893821
corr,5,20,relu,0.0,0.0059506297337137415,0.0059506297337137415
mi,3,40,relu,0.0,0.006255715875165935,0.006255715875165935
corr,5,40,relu,0.0,0.0063616833875201895,0.0063616833875201895
rf,5,10,relu,0.0,0.007012209644752021,0.007012209644752021
corr,5,60,relu,0.0,0.0077145879848175,0.0077145879848175
rf,5,40,relu,0.0,0.007832156283991809,0.007832156283991809
mi,5,60,relu,0.0,0.009761924645143027,0.009761924645143027
corr,3,10,selu,0.0,0.009862179657655235,0.009862179657655235
rf,3,60,relu,0.0,0.011037101758854861,0.011037101758854861
