ticker,fs_method,top_k,n_past,activation,DIR_ACC,MAE,RMSE,n_features,features
AAPL,rf,3,60,tanh,0.0,0.003137630258432056,0.003137630258432056,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1']"
AAPL,rf,3,60,relu,0.0,0.011037101758854861,0.011037101758854861,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1']"
AAPL,rf,3,60,selu,1.0,0.0020218546495087697,0.0020218546495087697,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1']"
AAPL,rf,5,10,tanh,1.0,0.001334043242248173,0.001334043242248173,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,10,relu,0.0,0.007012209644752021,0.007012209644752021,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,10,selu,1.0,0.0015898037461810066,0.0015898037461810066,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,20,tanh,0.0,0.003007516229270424,0.003007516229270424,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,20,relu,1.0,0.002409289133363801,0.002409289133363801,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,20,selu,0.0,0.0036000234766178085,0.0036000234766178085,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,40,tanh,1.0,0.0012043393442653372,0.0012043393442653372,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,40,relu,0.0,0.007832156283991809,0.007832156283991809,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,40,selu,0.0,0.0027002330251051365,0.0027002330251051365,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,60,tanh,0.0,0.004068832284981783,0.004068832284981783,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,60,relu,1.0,0.0006301049368702127,0.0006301049368702127,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,60,selu,0.0,0.003657405170822914,0.003657405170822914,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,10,10,tanh,0.0,0.0034128280465737237,0.0034128280465737237,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'spread_baa_10y']"
AAPL,rf,10,10,relu,0.0,0.0030166270087719216,0.0030166270087719216,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'spread_baa_10y']"
AAPL,rf,10,10,selu,1.0,0.0013255989404641344,0.0013255989404641344,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'spread_baa_10y']"
AAPL,rf,10,20,tanh,1.0,0.0021461975346099837,0.0021461975346099837,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'spread_baa_10y']"
AAPL,rf,10,20,relu,1.0,0.0023071152907576664,0.0023071152907576664,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'spread_baa_10y']"
AAPL,rf,10,20,selu,0.0,0.0033214860239312305,0.0033214860239312305,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'spread_baa_10y']"
AAPL,rf,10,40,tanh,1.0,0.0033539498464889572,0.0033539498464889572,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'spread_baa_10y']"
