ticker,fs_method,top_k,n_past,activation,MAE,RMSE,MAPE,n_features,features
AAPL,rf,5,40,relu,0.011358145327192502,0.015568006973628064,136.13679684093324,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,40,selu,0.010938654340533366,0.015259893437094246,114.8905191494216,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,60,tanh,0.010860506175533623,0.015124327216108019,113.0675525585053,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,60,relu,0.011379473029898715,0.015758981111488334,125.64059838744129,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,5,60,selu,0.01125957296733124,0.015691635349729713,148.98185524786854,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14']"
AAPL,rf,10,10,tanh,0.010572222333587913,0.015165596211708543,123.96941092841878,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'term_spread']"
AAPL,rf,10,10,relu,0.01102107215442688,0.015338093399216872,112.8231903942041,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'term_spread']"
AAPL,rf,10,10,selu,0.012048071422106968,0.016534839058396512,230.78628011461734,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'term_spread']"
AAPL,rf,10,20,tanh,0.010941050401161553,0.01522751222107268,139.15747902342147,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'term_spread']"
AAPL,rf,10,20,relu,0.010957799424677821,0.015359191036725003,125.45731738733001,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'term_spread']"
AAPL,rf,10,20,selu,0.010623328119648164,0.015227916459485243,139.206049236656,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'term_spread']"
AAPL,rf,10,40,tanh,0.010654806398914026,0.015193002064554843,104.21237034528674,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'term_spread']"
AAPL,rf,10,40,relu,0.011849176385927683,0.016610768484616793,191.13222400745647,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'term_spread']"
AAPL,rf,10,40,selu,0.011054813866401008,0.01521066956052709,128.74871518741048,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', 'Volume', 'Return_lag1', 'HL_PCT', '%K_14', 'commodity_index', 'RSI_14', '%D', 'pb', 'term_spread']"
