ticker,fs_method,top_k,n_past,activation,DIR_ACC,MAE,RMSE,n_features
NVDA,rf,3,40,tanh,1.0,0.0018715450061994598,0.0018715450061994598,4
NVDA,rf,3,40,relu,0.0,0.011257189697264414,0.011257189697264414,4
NVDA,rf,3,40,selu,1.0,0.009080262760310154,0.009080262760310154,4
NVDA,rf,3,60,tanh,1.0,0.00012776986821116942,0.00012776986821116942,4
NVDA,rf,3,60,relu,1.0,0.0028784895768898533,0.0028784895768898533,4
NVDA,rf,3,60,selu,0.0,0.02521244170950232,0.02521244170950232,4
NVDA,rf,5,10,tanh,1.0,0.008522972253760974,0.008522972253760974,6
NVDA,rf,5,10,relu,1.0,0.0034025971324604942,0.0034025971324604942,6
NVDA,rf,5,10,selu,1.0,0.007431588972597103,0.007431588972597103,6
NVDA,rf,5,20,tanh,1.0,0.01006583272121353,0.01006583272121353,6
NVDA,rf,5,20,relu,1.0,0.005742137458785157,0.005742137458785157,6
NVDA,rf,5,20,selu,1.0,0.006061030690236668,0.006061030690236668,6
NVDA,rf,5,40,tanh,1.0,0.0025711521959441708,0.0025711521959441708,6
NVDA,rf,5,40,relu,1.0,0.009704017684473376,0.009704017684473376,6
NVDA,rf,5,40,selu,1.0,0.005835273441537003,0.005835273441537003,6
NVDA,rf,5,60,tanh,1.0,0.006233616404845099,0.006233616404845099,6
NVDA,rf,5,60,relu,1.0,0.008607386284186225,0.008607386284186225,6
NVDA,rf,5,60,selu,1.0,0.006641753156347852,0.006641753156347852,6
NVDA,rf,10,10,tanh,1.0,0.006333676305277924,0.006333676305277924,11
NVDA,rf,10,10,relu,1.0,0.000601465952261071,0.000601465952261071,11
NVDA,rf,10,10,selu,1.0,0.002619881975786109,0.002619881975786109,11
NVDA,rf,10,20,tanh,1.0,0.003195313409580569,0.003195313409580569,11
NVDA,rf,10,20,relu,0.0,0.010355479411575663,0.010355479411575663,11
NVDA,rf,10,20,selu,1.0,0.000696640323237796,0.000696640323237796,11
NVDA,rf,10,40,tanh,1.0,0.005558944445713143,0.005558944445713143,11
NVDA,rf,10,40,relu,1.0,0.006517041613026242,0.006517041613026242,11
NVDA,rf,10,40,selu,0.0,0.01052234874098068,0.01052234874098068,11
NVDA,rf,10,60,tanh,1.0,0.007278862547739129,0.007278862547739129,11
NVDA,rf,10,60,relu,1.0,0.0010244354127484367,0.0010244354127484367,11
NVDA,rf,10,60,selu,1.0,0.009746889955042581,0.009746889955042581,11
NVDA,mi,3,10,tanh,0.0,0.01189378162255017,0.01189378162255017,4
NVDA,mi,3,10,relu,1.0,0.0093297105270016,0.0093297105270016,4
NVDA,mi,3,10,selu,1.0,0.01004115651469184,0.01004115651469184,4
NVDA,mi,3,20,tanh,1.0,0.007088770762695651,0.007088770762695651,4
NVDA,mi,3,20,relu,1.0,0.0003253276006740524,0.0003253276006740524,4
NVDA,mi,3,20,selu,1.0,0.003897088718278985,0.003897088718278985,4
NVDA,mi,3,40,tanh,1.0,0.004106768545373063,0.004106768545373063,4
NVDA,mi,3,40,relu,1.0,0.004226108685745578,0.004226108685745578,4
NVDA,mi,3,40,selu,1.0,0.008022696849568467,0.008022696849568467,4
NVDA,mi,3,60,tanh,1.0,0.008792131346328835,0.008792131346328835,4
NVDA,mi,3,60,relu,0.0,0.012696577607332449,0.012696577607332449,4
NVDA,mi,3,60,selu,1.0,0.0034785295358437107,0.0034785295358437107,4
NVDA,mi,5,10,tanh,1.0,0.009664520934368204,0.009664520934368204,6
NVDA,mi,5,10,relu,1.0,0.0058763349881905125,0.0058763349881905125,6
NVDA,mi,5,10,selu,1.0,0.0028791182196277187,0.0028791182196277187,6
NVDA,mi,5,20,tanh,1.0,0.0047911239309745834,0.0047911239309745834,6
NVDA,mi,5,20,relu,1.0,0.0034914583445948555,0.0034914583445948555,6
NVDA,mi,5,20,selu,1.0,0.0009449982537466095,0.0009449982537466095,6
NVDA,mi,5,40,tanh,1.0,0.004018757165088038,0.004018757165088038,6
NVDA,mi,5,40,relu,0.0,0.013589233065633755,0.013589233065633755,6
NVDA,mi,5,40,selu,1.0,0.002535523519529681,0.002535523519529681,6
NVDA,mi,5,60,tanh,1.0,0.006917010665549617,0.006917010665549617,6
NVDA,mi,5,60,relu,1.0,0.02250787136270227,0.02250787136270227,6
NVDA,mi,5,60,selu,1.0,0.005200849984450917,0.005200849984450917,6
NVDA,mi,10,10,tanh,0.0,0.014127760798348765,0.014127760798348765,11
NVDA,mi,10,10,relu,1.0,0.007587444641305785,0.007587444641305785,11
NVDA,mi,10,10,selu,0.0,0.010703607367961387,0.010703607367961387,11
NVDA,mi,10,20,tanh,1.0,0.004258263063295464,0.004258263063295464,11
NVDA,mi,10,20,relu,1.0,0.0009028773276644753,0.0009028773276644753,11
NVDA,mi,10,20,selu,1.0,0.0012409955741328194,0.0012409955741328194,11
NVDA,mi,10,40,tanh,1.0,0.006760169424726348,0.006760169424726348,11
NVDA,mi,10,40,relu,0.0,0.01407595667862771,0.01407595667862771,11
NVDA,mi,10,40,selu,1.0,0.006737575306235533,0.006737575306235533,11
NVDA,mi,10,60,tanh,1.0,0.006718713928623776,0.006718713928623776,11
NVDA,mi,10,60,relu,1.0,0.004491633874042611,0.004491633874042611,11
NVDA,mi,10,60,selu,1.0,0.009481549867107253,0.009481549867107253,11
