Date,Indice
29/12/2022,1639.56
30/12/2022,1636.52
1/1/2023,1636.50
2/1/2023,1638.19
3/1/2023,1632.50
4/1/2023,1642.24
5/1/2023,1616.60
6/1/2023,1653.45
8/1/2023,1653.47
9/1/2023,1682.34
10/1/2023,1692.84
11/1/2023,1721.44
12/1/2023,1731.02
13/1/2023,1745.22
15/1/2023,1745.24
16/1/2023,1746.31
17/1/2023,1750.70
18/1/2023,1738.28
19/1/2023,1725.15
20/1/2023,1769.39
22/1/2023,1769.39
23/1/2023,1807.80
24/1/2023,1803.98
25/1/2023,1799.27
26/1/2023,1831.59
27/1/2023,1843.09
29/1/2023,1843.08
30/1/2023,1809.61
31/1/2023,1826.68
1/2/2023,1868.54
2/2/2023,1941.36
3/2/2023,1919.12
5/2/2023,1919.11
6/2/2023,1886.74
7/2/2023,1929.19
8/2/2023,1901.94
9/2/2023,1890.70
10/2/2023,1870.99
12/2/2023,1870.93
13/2/2023,1895.86
14/2/2023,1907.10
15/2/2023,1913.34
16/2/2023,1886.13
17/2/2023,1859.53
19/2/2023,1859.48
20/2/2023,1861.03
21/2/2023,1819.26
22/2/2023,1814.34
23/2/2023,1836.69
24/2/2023,1802.69
26/2/2023,1802.67
27/2/2023,1810.44
28/2/2023,1809.03
1/3/2023,1804.28
2/3/2023,1821.08
3/3/2023,1857.84
5/3/2023,1857.90
6/3/2023,1868.78
7/3/2023,1846.61
8/3/2023,1855.39
9/3/2023,1829.42
10/3/2023,1799.69
12/3/2023,1799.63
13/3/2023,1813.60
14/3/2023,1846.56
15/3/2023,1850.31
16/3/2023,1898.85
17/3/2023,1903.71
19/3/2023,1903.70
20/3/2023,1902.92
21/3/2023,1925.21
22/3/2023,1913.96
23/3/2023,1950.65
24/3/2023,1948.92
26/3/2023,1948.92
27/3/2023,1929.77
28/3/2023,1920.45
29/3/2023,1955.98
30/3/2023,1975.89
31/3/2023,2006.04
2/4/2023,2006.07
3/4/2023,2003.95
4/4/2023,1997.61
5/4/2023,1976.33
6/4/2023,1989.04
7/4/2023,1991.38
9/4/2023,1991.34
10/4/2023,1985.49
11/4/2023,1971.29
12/4/2023,1959.22
13/4/2023,1991.52
14/4/2023,1989.13
16/4/2023,1989.15
17/4/2023,1986.29
18/4/2023,1988.14
19/4/2023,1977.85
20/4/2023,1967.16
